Ticker,MA_Final,MR_Final,AD_Final,MA_Sharpe,MR_Sharpe,AD_Sharpe
MMM,TRENDING,9811.45540609741,10513.899400405888,9811.45540609741,-0.8669949094500444,2.0827813804071686,-0.8669949094500444
AOS,SIDEWAYS,11021.263888328553,10481.00732424164,10481.00732424164,3.5077165247804594,2.969859545739702,2.969859545739702
ABT,SIDEWAYS,9921.015164711,10283.084981124877,10283.084981124877,-0.3804828225245528,1.9913846076816475,1.9913846076816475
ABBV,SIDEWAYS,10273.959073287964,9964.738735626222,9964.738735626222,1.0075685813059831,-0.1590954116999723,-0.1590954116999723
ACN,SIDEWAYS,9922.490754608152,9345.328955520628,9345.328955520628,-0.23528233590918354,-1.3761382833316338,-1.3761382833316338
ADBE,SIDEWAYS,9927.24360089111,10030.839046981813,10030.839046981813,-0.4114032597528121,0.16667166215292836,0.16667166215292836
AMD,SIDEWAYS,10284.619130722043,9651.716786178591,10284.619130722043,0.7309227781635105,-0.36351355237688177,0.7309227781635105
AES,TRENDING,9622.324023511885,9892.60219644356,9892.60219644356,-0.5105914323509799,-0.6861654667291386,-0.6861654667291386
AFL,SIDEWAYS,9809.5734107666,9885.43840385437,9885.43840385437,-0.954961134476065,-2.303259298791343,-2.303259298791343
A,SIDEWAYS,9200.713483032225,9583.859084388736,9583.859084388736,-4.240951311162609,-1.499370467366109,-1.499370467366109
APD,SIDEWAYS,9942.270450195309,10325.028995895387,10325.028995895387,-0.08255399251263734,1.7475585252438977,1.7475585252438977
ABNB,SIDEWAYS,10344.491717025761,10340.450109672547,10340.450109672547,1.4880825863608305,1.4700964091795476,1.4700964091795476
AKAM,TRENDING,9609.718089920047,10461.95850012207,9609.718089920047,-0.6126572305756047,1.7937808664513413,-0.6126572305756047
ALB,TRENDING,11613.142886344911,11060.283041427614,11613.142886344911,2.3306510013222437,1.8945821293099419,2.3306510013222437
ARE,TRENDING,9258.23250863266,10106.514984897614,10106.514984897614,-1.9828963001679178,0.5163477433519524,0.5163477433519524
ALGN,TRENDING,9656.390942413329,11218.973673461915,9656.390942413329,-0.9288940394773271,2.8206412359258035,-0.9288940394773271
ALLE,TRENDING,9825.44632611084,9834.6826819458,9834.6826819458,-0.5220890443325075,-0.9218009622467698,-0.9218009622467698
LNT,SIDEWAYS,10017.031262062072,9930.791452819823,9930.791452819823,0.12364095641146446,-2.145560742129081,-2.145560742129081
ALL,SIDEWAYS,9394.493806625369,10037.213910842893,10037.213910842893,-2.2277134363117574,0.2811731537367879,0.2811731537367879
GOOGL,SIDEWAYS,10286.155755859374,9805.48324649048,10286.155755859374,1.1052855603562117,-1.0719781415940974,1.1052855603562117
GOOG,SIDEWAYS,10275.161127197265,9933.219599243164,9933.219599243164,1.0722257452421868,-0.3353974424920982,-0.3353974424920982
MO,SIDEWAYS,9889.375243881226,10603.676709777832,10603.676709777832,-0.4294494385878369,4.186073946697296,4.186073946697296
AMZN,SIDEWAYS,9251.755498245238,9562.20908642578,9251.755498245238,-3.208192176923921,-1.5655854303757972,-3.208192176923921
AMCR,TRENDING,10201.3246725235,10219.296848892212,10219.296848892212,0.7800363975696093,1.3260313900148026,1.3260313900148026
AEE,SIDEWAYS,9982.228362213133,9844.515802452086,9844.515802452086,-0.0633187903752612,-4.1368549950652564,-4.1368549950652564
AEP,SIDEWAYS,10679.885610336301,9848.249800704956,9848.249800704956,3.084489716757723,-2.497542007683001,-2.497542007683001
AXP,SIDEWAYS,9788.961412200924,9777.755690948487,9777.755690948487,-0.8684097441854975,-0.5704003900047603,-0.5704003900047603
AIG,SIDEWAYS,10112.262847557067,9640.289655006409,9640.289655006409,0.4032504029570219,-2.564655517739293,-2.564655517739293
AMT,TRENDING,9269.18399639892,10603.337317047119,10603.337317047119,-2.9425476665407366,3.5868282089900823,3.5868282089900823
AWK,SIDEWAYS,9719.097052215575,10306.820924774169,10306.820924774169,-1.6492808808969541,1.734139037641839,1.734139037641839
